Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2019-08-05T15:00:00Z,TQQQ,13.784509104,54548,Market,Filled,751917.40260499,Warning: No quote information available at 08/05/2019 11:00:00 America/New_York, order filled using TradeBar data 
2019-09-09T15:00:00Z,TQQQ,15.781911024,-32654,Market,Filled,-515342.5225777,Warning: No quote information available at 09/09/2019 11:00:00 America/New_York, order filled using TradeBar data 
2019-11-18T16:00:00Z,TQQQ,18.261612432,-34811,Market,Filled,-635704.99037035,Warning: No quote information available at 11/18/2019 11:00:00 America/New_York, order filled using TradeBar data 
2019-12-23T16:00:00Z,TQQQ,20.953233312,-32707,Market,Filled,-685317.40193558,Warning: No quote information available at 12/23/2019 11:00:00 America/New_York, order filled using TradeBar data 
2020-01-21T16:00:00Z,TQQQ,24.245607775,-34351,Market,Filled,-832860.87267903,Warning: No quote information available at 01/21/2020 11:00:00 America/New_York, order filled using TradeBar data 
2020-02-18T16:00:00Z,TQQQ,27.8203119565,-32283,Market,Filled,-898123.13089169,Warning: No quote information available at 02/18/2020 11:00:00 America/New_York, order filled using TradeBar data 
2020-02-24T16:00:00Z,TQQQ,23.860602144,41411,Market,Filled,988091.39538518,Warning: No quote information available at 02/24/2020 11:00:00 America/New_York, order filled using TradeBar data 
2020-03-02T16:00:00Z,TQQQ,19.255155039,-5033147,Market,Filled,-96914025.819078,Warning: No quote information available at 03/02/2020 11:00:00 America/New_York, order filled using TradeBar data 
2020-03-02T16:00:00Z,SHY,80.91746796,1211942,Market,Filled,98067277.954378,Warning: No quote information available at 03/02/2020 11:00:00 America/New_York, order filled using TradeBar data 
2020-06-01T15:00:00Z,SHY,81.9400601975,-1211942,Market,Filled,-99306600.435879,Warning: No quote information available at 06/01/2020 11:00:00 America/New_York, order filled using TradeBar data 
2020-06-01T15:00:00Z,TQQQ,20.3200123855,4881765,Market,Filled,99197525.2631,Warning: No quote information available at 06/01/2020 11:00:00 America/New_York, order filled using TradeBar data 
2020-06-29T15:00:00Z,TQQQ,21.886839099,-4881765,Market,Filled,-106846405.07413,Warning: No quote information available at 06/29/2020 11:00:00 America/New_York, order filled using TradeBar data 
2020-06-29T15:00:00Z,SHY,81.9684540965,1298695,Market,Filled,106452021.49285,Warning: No quote information available at 06/29/2020 11:00:00 America/New_York, order filled using TradeBar data 
2020-07-06T15:00:00Z,SHY,81.964318656,-1298695,Market,Filled,-106446650.81695,Warning: No quote information available at 07/06/2020 11:00:00 America/New_York, order filled using TradeBar data 
2020-07-06T15:00:00Z,TQQQ,26.8943490465,3956406,Market,Filled,106404963.93367,Warning: No quote information available at 07/06/2020 11:00:00 America/New_York, order filled using TradeBar data 
2020-08-10T15:00:00Z,TQQQ,30.9442184055,-26094,Market,Filled,-807458.43507312,Warning: No quote information available at 08/07/2020 16:00:00 America/New_York, order filled using TradeBar data 
2020-08-31T15:00:00Z,TQQQ,39.3266194855,-41892,Market,Filled,-1647470.7434866,Warning: No quote information available at 08/31/2020 11:00:00 America/New_York, order filled using TradeBar data 
2020-09-08T15:00:00Z,TQQQ,31.667931522,47013,Market,Filled,1488804.4646438,Warning: No quote information available at 09/08/2020 11:00:00 America/New_York, order filled using TradeBar data 
2020-09-21T15:00:00Z,TQQQ,26.779822055,35910,Market,Filled,961663.40999505,Warning: No quote information available at 09/21/2020 11:00:00 America/New_York, order filled using TradeBar data 
2020-09-28T15:00:00Z,TQQQ,30.7102909335,-25418,Market,Filled,-780594.1749477,Warning: No quote information available at 09/28/2020 11:00:00 America/New_York, order filled using TradeBar data 
2020-10-12T15:00:00Z,TQQQ,36.6559475135,-32006,Market,Filled,-1173210.2561171,Warning: No quote information available at 10/12/2020 11:00:00 America/New_York, order filled using TradeBar data 
2020-11-02T16:00:00Z,TQQQ,29.050867929,51222,Market,Filled,1488043.5570592,Warning: No quote information available at 11/02/2020 11:00:00 America/New_York, order filled using TradeBar data 
2020-11-09T16:00:00Z,TQQQ,37.6988741595,-45485,Market,Filled,-1714733.2911449,Warning: No quote information available at 11/09/2020 11:00:00 America/New_York, order filled using TradeBar data 
2020-12-28T16:00:00Z,TQQQ,43.6007409105,-26532,Market,Filled,-1156814.8578374,Warning: No quote information available at 12/28/2020 11:00:00 America/New_York, order filled using TradeBar data 
2021-02-08T16:00:00Z,TQQQ,52.200026367,-32070,Market,Filled,-1674054.8455897,Warning: No quote information available at 02/08/2021 11:00:00 America/New_York, order filled using TradeBar data 
2021-03-08T16:00:00Z,TQQQ,40.562115531,55384,Market,Filled,2246492.2065689,Warning: No quote information available at 03/08/2021 11:00:00 America/New_York, order filled using TradeBar data 
2021-04-05T15:00:00Z,TQQQ,48.856807425,-33249,Market,Filled,-1624439.9900738,Warning: No quote information available at 04/05/2021 11:00:00 America/New_York, order filled using TradeBar data 
2021-06-28T15:00:00Z,TQQQ,58.67690388,-32497,Market,Filled,-1906823.3453884,Warning: No quote information available at 06/28/2021 11:00:00 America/New_York, order filled using TradeBar data 
2021-08-23T15:00:00Z,TQQQ,68.677319724,-28038,Market,Filled,-1925574.6904215,Warning: No quote information available at 08/23/2021 11:00:00 America/New_York, order filled using TradeBar data 
